method,budget,seed,miou_selected,f1_selected,miou_query,f1_query
all,25,0,0.4825863242149353,0.6426793932914734,0.48763495683670044,0.6437702775001526
uniform,3,0,0.4998754560947418,0.6546345353126526,0.3939626216888428,0.5624037384986877
nbv,3,0,0.5026244521141052,0.6653211712837219,0.49948397278785706,0.6654173135757446
random,3,0,0.5604279637336731,0.7143300175666809,0.5135266780853271,0.6777780055999756
random,3,1,0.4217207431793213,0.5926551818847656,0.4351888597011566,0.6026498675346375
random,3,2,0.501312792301178,0.6553978323936462,0.4472501277923584,0.6170750856399536
uniform,5,0,0.5150022506713867,0.6742540597915649,0.5056780576705933,0.6709060668945312
nbv,5,0,0.4849918782711029,0.6504690051078796,0.4985541105270386,0.6644984483718872
random,5,0,0.5227370262145996,0.6817924380302429,0.5137086510658264,0.6776149868965149
random,5,1,0.43897509574890137,0.5962508916854858,0.43423596024513245,0.6023651957511902
random,5,2,0.45655927062034607,0.6077077388763428,0.45838356018066406,0.6216939091682434
uniform,10,0,0.4756930470466614,0.6390401124954224,0.4714570939540863,0.6369221210479736
nbv,10,0,0.4497525095939636,0.6091698408126831,0.47095784544944763,0.6316280961036682
random,10,0,0.4895938038825989,0.6493868231773376,0.467707097530365,0.630608081817627
random,10,1,0.503339946269989,0.6659297943115234,0.46705952286720276,0.6293823719024658
random,10,2,0.4450061321258545,0.6045374274253845,0.45357686281204224,0.6167618036270142
