scene,phase,combo,miou_query,f1_query
Cantina,uniform_off,0-5-10-15-20,0.458886,0.619338
Cantina,uniform_off,1-6-11-16-21,0.363403,0.521274
Cantina,uniform_off,2-7-12-17-22,0.433351,0.597067
Cantina,uniform_off,3-8-13-18-23,0.475131,0.635141
Cantina,uniform_off,4-9-14-19-24,0.456181,0.612644
Garden,uniform_off,0-5-10-15-20,0.511207,0.676245
Garden,uniform_off,1-6-11-16-21,0.510066,0.673989
Garden,uniform_off,2-7-12-17-22,0.493452,0.659417
Garden,uniform_off,3-8-13-18-23,0.426742,0.589651
Garden,uniform_off,4-9-14-19-24,0.461155,0.628847
Lounge,uniform_off,0-5-10-15-20,0.572164,0.727499
Lounge,uniform_off,1-6-11-16-21,0.553092,0.709921
Lounge,uniform_off,2-7-12-17-22,0.513380,0.676917
Lounge,uniform_off,3-8-13-18-23,0.559555,0.716149
Lounge,uniform_off,4-9-14-19-24,0.495881,0.661491
Lunch_room,uniform_off,0-5-10-15-20,0.354763,0.502380
Lunch_room,uniform_off,1-6-11-16-21,0.382403,0.526381
Lunch_room,uniform_off,2-7-12-17-22,0.309708,0.450400
Lunch_room,uniform_off,3-8-13-18-23,0.302439,0.445562
Lunch_room,uniform_off,4-9-14-19-24,0.267637,0.399117
Meeting_room,uniform_off,0-5-10-15-20,0.492510,0.653788
Meeting_room,uniform_off,1-6-11-16-21,0.439194,0.604340
Meeting_room,uniform_off,2-7-12-17-22,0.531582,0.690188
Meeting_room,uniform_off,3-8-13-18-23,0.526693,0.684915
Meeting_room,uniform_off,4-9-14-19-24,0.527825,0.684546
Playground,uniform_off,0-5-10-15-20,0.423457,0.582437
Playground,uniform_off,1-6-11-16-21,0.425808,0.583984
Playground,uniform_off,2-7-12-17-22,0.352156,0.501562
Playground,uniform_off,3-8-13-18-23,0.333974,0.479472
Playground,uniform_off,4-9-14-19-24,0.373477,0.530855
Porch,uniform_off,0-5-10-15-20,0.499204,0.657629
Porch,uniform_off,1-6-11-16-21,0.555442,0.691011
Porch,uniform_off,2-7-12-17-22,0.486079,0.635792
Porch,uniform_off,3-8-13-18-23,0.506277,0.652635
Porch,uniform_off,4-9-14-19-24,0.624264,0.761032
Pots,uniform_off,0-5-10-15-20,0.605911,0.751502
Pots,uniform_off,1-6-11-16-21,0.642892,0.781325
Pots,uniform_off,2-7-12-17-22,0.602170,0.749010
Pots,uniform_off,3-8-13-18-23,0.591307,0.738686
Pots,uniform_off,4-9-14-19-24,0.624592,0.765310
Printing_area,uniform_off,0-5-10-15-20,0.590131,0.731630
Printing_area,uniform_off,1-6-11-16-21,0.620226,0.758004
Printing_area,uniform_off,2-7-12-17-22,0.606585,0.751869
Printing_area,uniform_off,3-8-13-18-23,0.628557,0.762631
Printing_area,uniform_off,4-9-14-19-24,0.472885,0.627021
Zen,uniform_off,0-5-10-15-20,0.547535,0.702153
Zen,uniform_off,1-6-11-16-21,0.430640,0.597675
Zen,uniform_off,2-7-12-17-22,0.476867,0.641027
Zen,uniform_off,3-8-13-18-23,0.293700,0.423539
Zen,uniform_off,4-9-14-19-24,0.350180,0.493200
